   1.0000000e+00   1.0088152e-02   1.0049871e-02   1.0088152e-02   1.0049871e-02
   1.0004606e+00   1.0097542e-02   1.0059224e-02   1.0097542e-02   1.0059224e-02
   1.0009215e+00   1.0106940e-02   1.0068586e-02   1.0106940e-02   1.0068586e-02
   1.0013825e+00   1.0116347e-02   1.0077957e-02   1.0116347e-02   1.0077957e-02
   1.0018438e+00   1.0125763e-02   1.0087336e-02   1.0125763e-02   1.0087336e-02
   1.0023052e+00   1.0135188e-02   1.0096725e-02   1.0135188e-02   1.0096725e-02
   1.0027669e+00   1.0144622e-02   1.0106122e-02   1.0144622e-02   1.0106122e-02
   1.0032288e+00   1.0154065e-02   1.0115528e-02   1.0154065e-02   1.0115528e-02
   1.0036909e+00   1.0163516e-02   1.0124943e-02   1.0163516e-02   1.0124943e-02
   1.0041533e+00   1.0172977e-02   1.0134367e-02   1.0172977e-02   1.0134367e-02
   1.0046158e+00   1.0182446e-02   1.0143799e-02   1.0182446e-02   1.0143799e-02
   1.0050785e+00   1.0191924e-02   1.0153241e-02   1.0191924e-02   1.0153241e-02
   1.0055415e+00   1.0201411e-02   1.0162691e-02   1.0201411e-02   1.0162691e-02
   1.0060047e+00   1.0210907e-02   1.0172151e-02   1.0210907e-02   1.0172151e-02
   1.0064681e+00   1.0220412e-02   1.0181619e-02   1.0220412e-02   1.0181619e-02
   1.0069317e+00   1.0229926e-02   1.0191096e-02   1.0229926e-02   1.0191096e-02
   1.0073955e+00   1.0239449e-02   1.0200582e-02   1.0239449e-02   1.0200582e-02
   1.0078595e+00   1.0248981e-02   1.0210077e-02   1.0248981e-02   1.0210077e-02
   1.0083238e+00   1.0258522e-02   1.0219580e-02   1.0258522e-02   1.0219580e-02
   1.0087882e+00   1.0268071e-02   1.0229093e-02   1.0268071e-02   1.0229093e-02
   1.0092529e+00   1.0277630e-02   1.0238615e-02   1.0277630e-02   1.0238615e-02
   1.0097178e+00   1.0287198e-02   1.0248146e-02   1.0287198e-02   1.0248146e-02
   1.0101829e+00   1.0296774e-02   1.0257685e-02   1.0296774e-02   1.0257685e-02
   1.0106482e+00   1.0306360e-02   1.0267234e-02   1.0306360e-02   1.0267234e-02
   1.0111137e+00   1.0315955e-02   1.0276791e-02   1.0315955e-02   1.0276791e-02
   1.0115795e+00   1.0325559e-02   1.0286358e-02   1.0325559e-02   1.0286358e-02
   1.0120454e+00   1.0335171e-02   1.0295933e-02   1.0335171e-02   1.0295933e-02
   1.0125116e+00   1.0344793e-02   1.0305518e-02   1.0344793e-02   1.0305518e-02
   1.0129780e+00   1.0354424e-02   1.0315112e-02   1.0354424e-02   1.0315112e-02
   1.0134446e+00   1.0364064e-02   1.0324714e-02   1.0364064e-02   1.0324714e-02
   1.0139114e+00   1.0373713e-02   1.0334326e-02   1.0373713e-02   1.0334326e-02
   1.0143784e+00   1.0383371e-02   1.0343946e-02   1.0383371e-02   1.0343946e-02
   1.0148457e+00   1.0393038e-02   1.0353576e-02   1.0393038e-02   1.0353576e-02
   1.0153131e+00   1.0402714e-02   1.0363215e-02   1.0402714e-02   1.0363215e-02
   1.0157808e+00   1.0412400e-02   1.0372863e-02   1.0412400e-02   1.0372863e-02
