   1.0000000e+02   1.0000000e+02   1.0000000e+02   1.0000000e+02   1.0000000e+02   1.0000000e+02
   1.0115794e+02   1.0151678e+02   1.0115794e+02   1.0151678e+02   1.0151678e+02   1.0151678e+02
   1.0232930e+02   1.0305657e+02   1.0232930e+02   1.0305657e+02   1.0305657e+02   1.0305657e+02
   1.0351421e+02   1.0461971e+02   1.0351421e+02   1.0461971e+02   1.0461971e+02   1.0461971e+02
   1.0471285e+02   1.0620657e+02   1.0471285e+02   1.0620657e+02   1.0620657e+02   1.0620657e+02
   1.0592537e+02   1.0781748e+02   1.0592537e+02   1.0781748e+02   1.0781748e+02   1.0781748e+02
   1.0715193e+02   1.0945284e+02   1.0715193e+02   1.0945284e+02   1.0945284e+02   1.0945284e+02
   1.0839269e+02   1.1111300e+02   1.0839269e+02   1.1111300e+02   1.1111300e+02   1.1111300e+02
   1.0964782e+02   1.1279834e+02   1.0964782e+02   1.1279834e+02   1.1279834e+02   1.1279834e+02
   1.1091748e+02   1.1450925e+02   1.1091748e+02   1.1450925e+02   1.1450925e+02   1.1450925e+02
   1.1220184e+02   1.1624610e+02   1.1220184e+02   1.1624610e+02   1.1624610e+02   1.1624610e+02
   1.1350108e+02   1.1800930e+02   1.1350108e+02   1.1800930e+02   1.1800930e+02   1.1800930e+02
   1.1481536e+02   1.1979924e+02   1.1481536e+02   1.1979924e+02   1.1979924e+02   1.1979924e+02
   1.1614486e+02   1.2161633e+02   1.1614486e+02   1.2161633e+02   1.2161633e+02   1.2161633e+02
   1.1748975e+02   1.2346099e+02   1.1748975e+02   1.2346099e+02   1.2346099e+02   1.2346099e+02
   1.1885022e+02   1.2533362e+02   1.1885022e+02   1.2533362e+02   1.2533362e+02   1.2533362e+02
   1.2022644e+02   1.2723466e+02   1.2022644e+02   1.2723466e+02   1.2723466e+02   1.2723466e+02
   1.2161860e+02   1.2916454e+02   1.2161860e+02   1.2916454e+02   1.2916454e+02   1.2916454e+02
   1.2302688e+02   1.3112367e+02   1.2302688e+02   1.3112367e+02   1.3112367e+02   1.3112367e+02
   1.2445146e+02   1.3311253e+02   1.2445146e+02   1.3311253e+02   1.3311253e+02   1.3311253e+02
   1.2589254e+02   1.3513156e+02   1.2589254e+02   1.3513156e+02   1.3513156e+02   1.3513156e+02
   1.2735031e+02   1.3718121e+02   1.2735031e+02   1.3718121e+02   1.3718121e+02   1.3718121e+02
   1.2882495e+02   1.3926195e+02   1.2882495e+02   1.3926195e+02   1.3926195e+02   1.3926195e+02
   1.3031668e+02   1.4137425e+02   1.3031668e+02   1.4137425e+02   1.4137425e+02   1.4137425e+02
